"Imported Companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Find Company Profile","Instragram follower","Link - Computed","Scrape Website","job opening","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings","Job Openings","Facebook Page URL","extracted url","Extract URLs and Emails from Text","Ad Status"
,"Servicewright, LLC","Software as a service for website building, hosting, and content management for the wellness services industry.","Technology, Information and Internet","2-10 employees","Privately Held","Atlanta, Georgia","United States","sitewright.io","https://www.linkedin.com/company/servicewright-llc","https://www.instagram.com/sitewright_io/","681","https://www.instagram.com/sitewright_io/",,"","❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/standupwright/",,"🖥️ 1 url or email found","This Page is not currently running ads."
,"Krickrack Media Services","Krickrack Media Services is a leading lifestyle media network and publisher of engaging, innovative sites covering fashion, news, beauty, music, relationships, parenting and entertainment. In a digital space filled with overlapping voices and opinions, Krickrack Media Services is set apart by our honesty, intelligence and focus on relatable content for real people.

As a company, Krickrack Media Services is young, nimble and hard-working. Our sites reach millions of people every month who represent a strong demographic of smart, engaged, loyal consumers.","IT Services and IT Consulting","2-10 employees","Privately Held","Miami, Florida","United States","krickrackmedia.com","https://www.linkedin.com/company/krickrack-media-services",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/Krickrack-Media-Services-103604394563914/",,"🖥️ 1 url or email found","This Page is not currently running ads."
,"NexGen Fitness Southlake - Private Personal Training","The fitness industry is full of fads and gimmicks. But we believe that a servants heart ... commitment to teamwork ... built on a foundation of hard work and radical integrity can be a blast. It can leave lasting impact on the lives of our clients and our team. And we're not the only one's taking note. In the last few years we've grown to 7 locations throughout DFW. Our unique design of private, fully equipped personal training studios allows our trainers to truly focus all of their attention on one client at a time. This one-on-one training style is completely different from what you'll find at a typical big ""box gym."" The privacy and upbeat atmosphere we offer means you will never feel uncomfortable or self-conscious during your sessions! Our team is growing. We just added studios in Southlake, Preston Hollow and Flower Mound. We're looking for trainers to join our growing team. We're looking for people who are not just seeking a job, but to start a career that could lead to managing their own location.","Wellness and Fitness Services","2-10 employees","Privately Held","Southlake, Texas","United States","nexgenfitness.com","https://www.linkedin.com/company/nexgen-fitness-private-personal-training-southlake",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/nexgensouthlake/",,"🖥️ 1 url or email found","Unable to find the requested information on the website"
,"Dezota","Dezota is a consulting practice focused on driving business success through previously undiscovered data insights.  Services include data transformation, data analysis, decision dashboards, and general business advisory.  

Dezota is the vision of Principal Consultant Brian Holman. Brian has worked in strategic positions at a billion-dollar technology company, founded and sold a venture funded software company, and transformed a legacy North American consumer products company into a technology-driven agile business with a significantly expanded international footprint. He has negotiated a technology acquisition from Cisco and lead due diligence on several other potential company acquisitions. He has served in CxO level positions for 18 years","IT Services and IT Consulting","2-10 employees","Privately Held","Provo, Utah","United States","dezota.com","https://www.linkedin.com/company/dezota",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/desototx/",,"🖥️ 1 url or email found","No relevant data found to confirm if the Facebook page for Desoto, TX is currently running ads."
,"Itty Industries, Inc.","Building global-scale, cloud-centric systems to solve industry/life pain points.","Technology, Information and Internet","2-10 employees","Privately Held","Houston, TX","United States","itty.industries","https://www.linkedin.com/company/itty-industries",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"[Kitty Industries Ltd - Facebook](https://www.facebook.com/kittyindltd/)",,"🖥️ 1 url or email found","Unable to determine if the page is currently running ads."
,"Kadogo","With Kadogo, businesses and their employees can create tax-free returns on investments, by creating a Kadogo Account on the fly. The app makes it simple for employees to create and fill a Giving Account (DAF) with outside funds, like charitable donations matched by employers and brands, as well as personal contributions like Crypto, stock assets, and more. Businesses and employees can then invest the funds in their account (with no capital gains tax) and make donations to their favorite non-profits, lowering their taxable income.","Financial Services","2-10 employees","Public Company","Austin, TX","United States","kadogo.co","https://www.linkedin.com/company/kadogo",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/kadogogives/",,"🖥️ 1 url or email found","This Page is not currently running ads."
,"Kratz Custom Services","Kratz Custom Services is a music company based out of 709 S Adams St, Arlington, Virginia, United States.","Musicians","2-10 employees",,"Arlington, Virginia","United States",,"https://www.linkedin.com/company/kratz-custom-services",,"NaN",,,,,,,,"https://www.facebook.com/KrietzCustoms/",,"🖥️ 1 url or email found","The information about whether the page is currently running ads is not available or accessible on the provided Facebook page."
,"Columbia Healthcare Analytics Association","Healthcare Analytics Association seeks to promote awareness in the field of healthcare and analytics to students at Columbia University. Healthcare is an industry rich with data and analytics is used in many ways to improve patient care and the healthcare system. Join us at our events to learn about topics such as health risk prediction, patient cost reduction, re-admittance prevention, hospital flow optimization, data governance in the healthcare industry, and more! 


Follow us on:
Facebook: https://www.facebook.com/Columbiahcaa/","Higher Education","2-10 employees","Non Profit","New York","United States","campuslabs.com","https://www.linkedin.com/company/columbiahcaa",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/Columbiahcaa/",,"🖥️ 1 url or email found","This Page is not currently running ads."
,"Multifamily Modeling LLC","We build sophisticated, straightforward, and aesthetically-pleasing financial models designed for the multifamily investment and development industry. We also offer consulting services to multifamily investors and developers throughout the US.

To us, building financial models is an exercise in problem solving, and we are happy to sweat the details so you dont have to.","Real Estate","2-10 employees","Privately Held","Fairfield, Connecticut","United States","multifamilymodeling.com","https://www.linkedin.com/company/multifamily-modeling",,"NaN",,,,"❌ No Jobs Found","❌ No matching jobs found","❌ No Job Found",,"https://www.facebook.com/MultifamilyFirm/",,"🖥️ 1 url or email found","This Page is not currently running ads."
,"BMCL Electric",,"Appliances, Electrical, and Electronics Manufacturing","2-10 employees","Self Owned","HIRAM, ME","United States",,"https://www.linkedin.com/company/bmcl-electric",,"NaN",,,,,,,,"https://www.facebook.com/p/BMCL-Electric-100028752264771/?locale=be_BY",,"🖥️ 1 url or email found","There is no relevant data found for the line 'this page is currently running ads' or 'This Page is not currently running ads.'"
